date,market,type,source_regions,price_grade_상,price_grade_중,trend_note,forecast
2020-01-07,부산,소매,"경남 진주, 양산, 밀양",1700,1500.0,"산지 출하량이 소폭 감소하였으나, 금주 지역내 지속적인 우천으로 인해 거래가 한산하여 소비감소를 통한 약보합세",향후 기상이 회복하고 거래량 증가가 예상되어 강보합세 전망
2020-01-08,대전,소매,"대전, 충남 금산, 논산, 전북 익산, 충북 음성, 경남 하동, 사천, 진주, 산청 ",1500,1200.0,제철을 맞이해 출하물량이 풍부함에 따라 시장 내 물량도 풍부하여 가격의 내림세를 보임,당분간 제철 과일로 소비자들의 수요가 꾸준할 것으로 예상되어 가격의 약보합세 또는 보합세가 전망됨
2020-01-08,대구,중도매,"경남 거창, 합천, 밀양, 경북 고령, 청도 ",31000,26000.0,이번 주 우천으로 인해 시장 거래량 많지 않아 시장 내 물량 풍부하여 내림세에 거래됨,다음 주부터 설 명절을 맞이해 과일 선물세트 반입이 늘어나 소비 분산될 것으로 보여 보합세 전망
2020-01-08,광주,소매,"전남 담양, 장성, 고흥 ",2000,1800.0,"최근 잦은 우천과 일조량 감소 등 생육여건 악화와 출하작업 지연으로 공급물량이 감소한데다, 제철을 맞아 디저트 재료(케이크, 타르트 등)로 제과점, 카페 등 수요가 증가하면서 오름세에 거래됨",비교적 꾸준한 수요와 기온하강에 따른 출하량 감소가 예상되어 강보합세 전망
2020-01-20,광주,소매,"전남 담양, 장성, 곡성 ",1800,1500.0,"설 성수기를 맞이하면서 제수용품 및 선물용으로 명절 수요가 많은 사과, 배 위주로 거래가 이루어지면서 구매수요 감소로 내림세에 거래됨","빨리 물러지는 등 저장성이 약하나, 제수용 수요가 다소 있을 것으로 예상되어 주중 강보합세 전망"
2020-01-22,광주,소매,"전남 담양, 곡성, 장성 ",2000,1800.0,"설 명절을 맞아 제수용품 및 선물용으로 수요가 많은 사과, 배에 비해 구매수요는 낮으나, 1월 상순대비 기온하강으로 인한 생육여건 악화로 출하가 원활하지 못해 오름세에 거래됨",저장성이 약한 품목 특성상 설날 1~2일 전 수요가 있을 것으로 보여 강보합세 전망
2020-01-23,대구,중도매,"경남 거창, 합천, 밀양, 경북 고령, 청도 ",35000,29000.0,어제부터 내린 우천으로 인해 시장 반입량 감소하고 설 명절까지 경매가 없어 소폭 오름세에 거래됨,향후 명절 이후 수요 감소할 것으로 예상되어 약보합세 전망
2020-01-23,부산,소매,"경남 진주, 양산, 밀양",2000,1800.0,"명절대비 딸기의 수요가 높아지고 최근 우천, 추위 등의 영향으로 출하가 원활하지 못해 강보합세",명절 이후 수요의 감소로 약보합세 전망
2020-01-28,부산,소매,"경남 진주, 양산, 밀양",1700,1500.0,명절 종료 후 시장 내 거래 한산으로 인해 수요가 감소하여 약보합세,명절 이후 수요의 감소로 당분간 보합세 혹은 약보합세 전망
2020-01-29,부산,중도매,"경남 삼량진, 진주, 함안",25000,21000.0,"전일부터 산지 출하작업이 다시 시작되면서 시장내 반입량은 증가하나, 명절직후 대형수급처의 주문량 감소로 약보합세",향후에도 당분간은 명절이후 소비량 감소로 약보합세 전망
2020-01-29,광주,소매,"전남 담양, 곡성, 장성 ",1800,1500.0,"지난 설 명절 도매시장 휴업으로 경매가 중단되면서 높은 가격대에 거래되었으나, 연휴로 밀려있던 수확작업이 재개되면서 출하물량이 크게 늘어 내림세에 거래됨","각 가정마다 명절에 구입한 과일 재고가 남아있어 소비둔화가 예상되나, 당분간 원활한 출하로 약보합세 전망"
2020-01-31,부산,소매,"경남 진주, 양산, 밀양",1300,1100.0,"명절 이후 수요가 감소하고, 또한 최근 유행중인 코로나 바이러스의 영향으로 시장내 거래한산으로 약보합세",명절 이후 수요의 감소로 약보합세 전망
2020-02-04,광주,소매,"전남 담양, 장성, 곡성 ",1300,1000.0,"각 가정마다 명절에 구입한 과일이 남아 있어 전반적인 과일류 소비가 둔화된 가운데, 수요대비 출하대기물량이 많아 공급물량 증가로 내림세를 형성함",신종 코로나바이러스 감염증 발병으로 각종 모임이 제한되면서 수요 감소가 예상되어 약보합세 전망
2020-02-05,대구,소매,"경남 거창, 합천, 밀양, 경북 고령, 청도 ",1300,800.0,"명절 이후 수요가 감소하고, 최근 신종 바이러스로 인하여 시장 내 거래량 감소로 내림세에 거래됨",신종 바이러스의 영향으로 향후에도 시장 내 거래량 감소가 유지될 것으로 보여 약보합세 전망
2020-02-10,부산,소매,"경남 진주, 양산, 밀양",1200,1000.0,"출하물량이 크게 증가하고, 시장내 거래한산으로 약보합세",향후 출하물량 증가와 소비감소로 인하여 보합세 혹은 약보합세 전망
2020-02-19,서울,중도매,"경남 산청, 전남 담양, 충남 홍성, 전북 남원ㆍ익산",18000,14000.0,"주중을 맞아 반입량은 전일대비 25.8% 감소한 181톤이 반입되었으나, 전일재고량 누적으로 내림세에 거래됨",향후에는 기온상승에 따른 산지출하량 증가로 내림세를 전망함
2020-02-19,광주,중도매,"전남 담양, 장성, 충남 논산, 전북 남원, 익산, 경북 고령 ",19000,14000.0,"제철로 인하여 산지 출하량은 늘어나고 있으나, 각종행사 및 단체모임 자제로 수요가 감소하여 내림세에 거래됨.",향후에도 산지 출하량은 늘어나는 반면 요식업소 및 나들이객 수요 감소가 예상되어 약보합세가 전망됨.
2020-02-21,대전,소매,"경남 진주, 하동, 의령, 산청, 사천, 충남 논산, 금산, 대전, 계룡, 충북 옥천, 보은, 전북 익산 ",1000,800.0,제철을 맞이해 출하물량이 풍부하여 시장 내 물량도 풍부함에 따라 가격의 내림세를 보임,향후 제철인 5월까지는 출하물량이 풍부할 것으로 예상되어 가격의 보합세 또는 약보합세가 전망됨
2020-02-24,서울,중도매,"경남 산청, 전남 담양, 충남 논산ㆍ공주, 전북 남원",20000,16000.0,"지역별 품위에 따라 가격 편차가 큰 가운데, 주초를 맞아 반입량은 전일대비 7.3% 증가한 280톤이 반입되어 반입량 증가로 내림세에 거래됨",향후에도 상품성이 우수한 담양산은 강보합세가 지속 될 전망임
2020-02-25,서울,중도매,"경남 산청, 전남 담양, 충남 논산ㆍ홍성, 전북 남원",18000,14000.0,"반입량은 전일과 비슷한 276톤이 반입되었으며, 우천에 따른 소비부진으로 내림세에 거래됨",향후에는 기온상승에 따른 산지 출하량 증가가 예상되어 내림세를 전망함
2020-02-27,서울,중도매,"경남 산청ㆍ고성, 전남 담양, 충남 공주ㆍ홍성",20000,16000.0,반입량은 전일대비 7.8% 감소한 188톤이 반입되어 반입량 감소로 오름세에 거래됨,향후에는 기온상승에 따른 산지 출하량 증가가 예상되어 내림세를 전망함
2020-03-05,부산,소매,"경남 진주, 양산, 밀양",1100,900.0,소비부진의 지속으로 시장내 반입량을 줄여 가격의 오름세를 보임,향후 반입량과 수요량이 현재와 비슷할 것으로 예상되어 보합세 혹은 약보합세 전망
2020-03-06,대구,중도매,"경남 거창, 합천, 밀양, 경북 성주, 청도 ",17000,12000.0,"산지에서 출하량을 증가시켜, 시장 내 반입량이 증가하여 내림세에 거래됨.",당분간 보합세 전망.
2020-03-09,대전,소매,,1200,1000.0,"당도가 높고 상태가 양호하며, 제철 과일로 소비자들의 수요량도 꾸준함에 따라 가격의 오름세를 보임",향후 제철인 5월까지는 출하물량 및 수요량이 꾸준할 것으로 예상되어 가격의 보합세가 전망됨
2020-03-11,부산,중도매,"경남 진주, 함안, 양산 ",17000,13000.0,출하 및 시장내 반입량 대비 지속적인 소비부진의 영향으로 약보합세,향후에도 소비부진이 이어질 것으로 예상되어 보합세 혹은 약보합세 전망
2020-03-12,대전,중도매,출하,17000,15000.0,최근 기온 상승으로 일조량이 증가와 제철 딸기 소비 증가 기대로 오름세를 보임,향후 기상호조로 반입량은 증가하나 소비 감소가 예상되어 약보합세를 보일것으로 전망됨
2020-03-12,서울,중도매,"경남 산청, 전남 담양, 충남 부여, 홍성, 전북 익산 ",20000,16000.0,반입량은 전일대비 20.0% 감소한 156톤이 반입되어 반입량 감소로 오름세에 거래됨.,향후에는 기온 상승과 출하 종료기를 맞아 상품성(무름 현상등) 저하로 내림세를 전망함
2020-03-12,광주,소매,"전남 담양, 장성, 고창 ",1200,1000.0,"재배면적이 늘었으나 잦은 비와 일조량 부족 등 기상악화로 인한 작황부진으로 출하량이 감소한 가운데, 품질이 좋지 않은데다, 소비도 부진하여 내림세에 거래됨","기온상승으로 숙기가 빨라져 출하가 조기 마무리 될 것으로 예상되며, 소비부진이 지속될 경우 약보합세 전망"
2020-03-16,서울,중도매,"경남 산청, 전남 담양, 충남 논산ㆍ홍성ㆍ공주",18000,14000.0,주초를 맞아 반입량은 전일대비 17.3% 증가한 292톤이 반입되어 반입량 증가로 내림세에 거래됨,향후에도 당분간은 시장 내 소비부진으로 약보합세를 전망함
2020-03-17,대구,중도매,"경남 거창, 합천, 밀양, 경북 성주, 청도 ",16000,11000.0,금일 시장 반입 물량의 품위 하락으로 인해 내림세에 거래됨.,향후 양질의 상품이 재유입될 것으로 예상되어 보합세 전망.
2020-03-17,부산,중도매,"경남 진주, 함안, 양산 ",17000,13000.0,출하 및 시장내 반입량 대비 지속적인 소비부진의 영향으로 약보합세,향후에도 소비부진이 이어질 것으로 예상되어 보합세 혹은 약보합세 전망
2020-03-17,서울,중도매,"경남 산청ㆍ거창, 전남 담양, 충남 홍성, 전북 남원",17000,13000.0,"반입량은 전일대비 18.2% 감소한 239톤이 반입되었으나, 전일 재고량 증가로  내림세에 거래됨",향후에는 제철과일로(오렌지ㆍ참외 등)의 소비분산으로 내림세를 전망함
2020-03-19,서울,중도매,"경남 산청, 전남 담양, 충남 홍성ㆍ공주ㆍ논산",18000,14000.0,반입량은 전일대비 3.6% 감소한 185톤이 반입되어 반입량 감소로 오름세에 거래됨,향후에도 상품성이 우수한 담양지역에서 출하되는 딸기는 강세가 지속 될 전망임
2020-03-19,부산,소매,"경남 진주, 양산, 밀양",1100,900.0,"시장 내 반입량은 증가하였으나, 소비가 부진하여 가격의 내림세를 보임",향후 반입량과 수요량이 현재와 비슷할 것으로 예상되어 보합세 혹은 약보합세 전망
2020-03-26,서울,중도매,"경남 산청, 전남 담양, 충남 공주, 홍성, 논산 ",17000,13000.0,"반입량은 전일과 비슷한 204톤이 반입되었으나, 제철과일(오렌지, 참외등)로 소비분산으로 내림세에 거래됨",향후에는 기온 상승에 따른 상품성(무름 현상등) 저하로 내림세를 전망함
2020-03-30,광주,중도매,"경남 산청, 충남 논산, 전남 담양, 전북 익산, 경북 고령 ",17000,12000.0,기온이 포근해지면서 최근 벗꽃놀이로 인한 간식용으로 수요가 활발하면서 소폭 오름세에 거래됨..,향후에도 봄철로 인한 나들이객 수비증가로 강보합세가 전망됨.
2020-03-30,서울,중도매,"경남 산청, 전남 담양, 충남 홍성ㆍ공주ㆍ논산",20000,16000.0,주초를 맞아 반입량은 전일대비 11.8% 감소한 209톤이 반입되어 반입량 감소로 오름세에 거래됨,향후에도 제철과일로(참외ㆍ오렌지 등)의 소비분산으로 내림세를 전망함
2020-03-31,서울,중도매,"경남 산청, 전남 담양, 충남 홍성ㆍ공주ㆍ논산",18000,14000.0,최근 꾸준한 가격을 보인가운데 제철 과일로의 소비분산으로 내림세에 거래됨,향후에도 기온상승에 따른 품위 저하로 약보합세를 전망함
2020-04-01,대구,중도매,"경남 하동, 거창, 대구 북구 ",19000,12000.0,"제철이 지나 시장 반입량이 지속적으로 감소하고 있는 반면, 소비자 수요는 꾸준히 유지되고 있어 오름세에 거래됨.","향후에도 반입량 감소세는 지속될 것으로 예상되나, 기온 상승으로 인해 소비자의 새로운 대체과일에 대한 수요가 증가할 것으로 예상되어 보합세 전망."
2020-04-06,부산,소매,"경남 진주, 양산, 밀양",900,700.0,최근 제철과일로의 소비분산으로 인해 가격의 내림세를 보임,"향후 제철이 끝나감에 따라, 고품질의 상품이 적어질 것으로 예상되어 보합세 혹은 약보합세 전망"
2020-04-09,서울,중도매,"경남 산청, 전남 담양, 충남 홍성ㆍ공주ㆍ전북 익산",20000,16000.0,최근 꾸준한 가격을 보인가운데 반입량은 전일대비 14.5% 감소한 148톤이 반입되어 반입량 감소로 오름세에 거래됨,향후에는 제철 과일로(참외ㆍ오렌지 등)의 소비분산으로 내림세를 전망함
2020-04-10,광주,소매,"전남 담양, 화순, 장성, 곡성 ",1000,800.0,"올해 높은 기온으로 숙기가 빨라져 출하가 조기 종료될 것으로 예상되는 가운데, 생산량 증가로 시장 내 반입이 꾸준한 데다, 참외, 오렌지 등 다양한 제철과일 출하로 인한 소비분산 등의 영향으로 가격 상승없이 현 시세에 거래됨",산지의 원활한 출하가 예상되어 향후 약보합세 전망
